Q149,Q58_1_TEXT,Q58_2_TEXT,Q58_3_TEXT,Q58_4_TEXT,Q58_5_TEXT,Q58_6_TEXT,Q58_7_TEXT,Q58_8_TEXT,Q58_9_TEXT,Q58_10_TEXT,Q3(1),Q3(2),Q3(3),Q3(4),Q3(5),Q3(6),Q3(7),Q3(8),Q3(9),Q3(10),Q4(1),Q4_TEXT(1),Q4(2),Q4_TEXT(2),Q4(3),Q4_TEXT(3),Q4(4),Q4_TEXT(4),Q4(5),Q4_TEXT(5),Q4(6),Q4_TEXT(6),Q4(7),Q4_TEXT(7),Q4(8),Q4_TEXT(8),Q4(9),Q4_TEXT(9),Q4(10),Q4_TEXT(10),Q5(1),Q5_TEXT(1),Q5(2),Q5_TEXT(2),Q5(3),Q5_TEXT(3),Q5(4),Q5_TEXT(4),Q5(5),Q5_TEXT(5),Q5(6),Q5_TEXT(6),Q5(7),Q5_TEXT(7),Q5(8),Q5_TEXT(8),Q5(9),Q5_TEXT(9),Q5(10),Q5_TEXT(10),Q6(1),Q6_TEXT(1),Q6(2),Q6_TEXT(2),Q6(3),Q6_TEXT(3),Q6(4),Q6_TEXT(4),Q6(5),Q6_TEXT(5),Q6(6),Q6_TEXT(6),Q6(7),Q6_TEXT(7),Q6(8),Q6_TEXT(8),Q6(9),Q6_TEXT(9),Q6(10),Q6_TEXT(10),Q7(1),Q7(2),Q7(3),Q7(4),Q7(5),Q7(6),Q7(7),Q7(8),Q7(9),Q7(10),Q8(1),Q8_TEXT(1),Q8(2),Q8_TEXT(2),Q8(3),Q8_TEXT(3),Q8(4),Q8_TEXT(4),Q8(5),Q8_TEXT(5),Q8(6),Q8_TEXT(6),Q8(7),Q8_TEXT(7),Q8(8),Q8_TEXT(8),Q8(9),Q8_TEXT(9),Q8(10),Q8_TEXT(10),Q9(1),Q9_TEXT(1),Q9(2),Q9_TEXT(2),Q9(3),Q9_TEXT(3),Q9(4),Q9_TEXT(4),Q9(5),Q9_TEXT(5),Q9(6),Q9_TEXT(6),Q9(7),Q9_TEXT(7),Q9(8),Q9_TEXT(8),Q9(9),Q9_TEXT(9),Q9(10),Q9_TEXT(10),Q10(1),Q10_TEXT(1),Q10(2),Q10_TEXT(2),Q10(3),Q10_TEXT(3),Q10(4),Q10_TEXT(4),Q10(5),Q10_TEXT(5),Q10(6),Q10_TEXT(6),Q10(7),Q10_TEXT(7),Q10(8),Q10_TEXT(8),Q10(9),Q10_TEXT(9),Q10(10),Q10_TEXT(10),Q11(1),Q11(2),Q11(3),Q11(4),Q11(5),Q11(6),Q11(7),Q11(8),Q11(9),Q11(10),Q12(1),Q12_TEXT(1),Q12(2),Q12_TEXT(2),Q12(3),Q12_TEXT(3),Q12(4),Q12_TEXT(4),Q12(5),Q12_TEXT(5),Q12(6),Q12_TEXT(6),Q12(7),Q12_TEXT(7),Q12(8),Q12_TEXT(8),Q12(9),Q12_TEXT(9),Q12(10),Q12_TEXT(10),Q13(1),Q13_TEXT(1),Q13(2),Q13_TEXT(2),Q13(3),Q13_TEXT(3),Q13(4),Q13_TEXT(4),Q13(5),Q13_TEXT(5),Q13(6),Q13_TEXT(6),Q13(7),Q13_TEXT(7),Q13(8),Q13_TEXT(8),Q13(9),Q13_TEXT(9),Q13(10),Q13_TEXT(10),Q14(1),Q14_TEXT(1),Q14(2),Q14_TEXT(2),Q14(3),Q14_TEXT(3),Q14(4),Q14_TEXT(4),Q14(5),Q14_TEXT(5),Q14(6),Q14_TEXT(6),Q14(7),Q14_TEXT(7),Q14(8),Q14_TEXT(8),Q14(9),Q14_TEXT(9),Q14(10),Q14_TEXT(10),Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19,Q20,Q20_TEXT,Q21,Q21_TEXT,Q22,Q22_TEXT
12203,12202,12201,12205,12204,10206,10203,10101,,,,1,1,1,1,1,1,1,,,,9,,4,,9,,4,,5,,9,,5,,,,,,,,10,,10,,4,,9,,10,,5,,10,,,,,,,,12,,9,,10,,10,,13,,10,,13,,,,,,,,1,1,1,1,1,1,1,,,,1,,1,,1,,1,,1,,1,,11,,,,,,,,2,,11,,4,,6,,6,,5,,6,,,,,,,,11,,6,,11,,11,,11,,11,,1,,,,,,,,1,1,1,1,1,1,1,,,,10,,7,,10,,10,,1,,8,,10,,,,,,,,2,,10,,2,,7,,10,,10,,7,,,,,,,,7,,2,,10,,1,,9,,2,,1,,,,,,,,1,30105,5,1,1,1,1,1,1,1,,1,4,,1,,6,
13110,12102,13107,13109,14103,13102,13108,14202,10101,13101,,1,1,1,1,1,1,1,1,1,,12,,4,,4,,13,Fellow TA,13,Fellow TA,4,,11,,13,Fellow TA,4,,,,9,,9,,9,,5,,4,,12,,5,,10,,9,,,,10,,10,,10,,9,,9,,9,,9,,9,,6,,,,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,1,,1,,3,,1,,1,,,,4,,4,,4,,4,,11,,3,,1,,11,,6,,,,13,,3,,11,,11,,4,,11,,4,,6,,4,,,,1,1,1,1,1,1,1,1,1,,2,,7,,2,,5,,5,,2,,3,,10,,7,,,,7,,10,,7,,2,,2,,7,,7,,5,,10,,,,5,,2,,10,,7,,7,,5,,5,,7,,1,,,,2,30117,3,1,1,1,1,1,1,,,1,3,,4,,1,
15105,15103,13109,1501,140102,13107,13013,,,,,1,1,1,1,1,1,,,,,10,,9,,9,,9,,9,,5,,,,,,,,,,9,,10,,5,,5,,10,,7,,,,,,,,,,13,Study partner,8,,10,,5,,7,,12,,,,,,,,,,1,1,1,1,1,1,,,,,1,,1,,1,,1,,1,,1,,,,,,,,,,4,,3,,2,,4,,10,Not applicable,4,,,,,,,,,,3,,4,,4,,11,,10,Not applicable,11,,,,,,,,,,1,1,1,1,1,1,,,,,2,,7,,2,,7,,1,,2,,,,,,,,,,8,,10,,7,,10,,7,,1,,,,,,,,,,5,,5,,8,,1,,10,,8,,,,,,,,,,2,30101,2,1,,,,,,,,1,4,,3,,2,
10205,10206,10207,10101,,,,,,,,1,1,1,,,,,,,,10,,4,,3,,,,,,,,,,,,,,,,4,,3,,4,,,,,,,,,,,,,,,,9,,9,,9,,,,,,,,,,,,,,,,1,1,1,,,,,,,,4,,2,,4,,,,,,,,,,,,,,,,6,,4,,6,,,,,,,,,,,,,,,,2,,6,,2,,,,,,,,,,,,,,,,1,1,1,,,,,,,,10,,2,,5,,,,,,,,,,,,,,,,5,,3,,7,,,,,,,,,,,,,,,,7,,5,,10,,,,,,,,,,,,,,,,1,30102,6,,,,,,,,1,1,1,,2,,6,
14204,14211,14208,14205,14210,14209,12102,,,,,1,1,1,1,1,1,,,,,4,,4,,4,,4,,4,,5,,,,,,,,,,10,,10,,10,,10,,10,,10,,,,,,,,,,9,,9,,9,,9,,9,,9,,,,,,,,,,1,1,1,1,1,1,,,,,1,,1,,1,,1,,1,,1,,,,,,,,,,7,,7,,3,,6,,6,,6,,,,,,,,,,4,,2,,4,,11,,3,,10,,,,,,,,,,1,1,1,1,1,1,,,,,3,,2,,10,,3,,2,,2,,,,,,,,,,2,,3,,3,,2,,3,,3,,,,,,,,,,5,,10,,2,,7,,7,,10,,,,,,,,,,1,30104,3,1,1,1,1,,,,,1,2,,1,,3,
12204,faculty,faculty,faculty,faculty,12201,12102,faculty,12202,faculty,faculty,1,1,1,1,1,1,1,1,1,1,13,Research Team Leader,13,Dissertation advisor,13,Past advisor,7,,9,,9,,10,,3,,13,Matt is on my advisory committee.,10,,12,,10,,10,,10,,3,,10,,13,"Robin connected with EPET students often each month of our first few years. This presence, providing encouragement, suggestions, help, friendship all of this was very important support during the first part of this program. ",4,,10,,13,Punya was on my advisory committee,10,,10,,10,,13,John provided my first opportunity to be a part of a research team. This invitation and willingness to teach in the research team context helped me feel connected and part of the Ph.D. process and community even though I was off campus.,10,,13,Josh connected me to John Bell's research team!,9,,13,Colin works as support much like Robin did. His newsletter is very helpful in providing support and reminders.,13,Matt provided feedback with my practicum and served on my committee,13,Punya helped me with TPACK related research questions during my practicum work,1,1,1,1,1,1,1,1,1,1,7,,3,,3,,7,,1,,11,,3,,11,,11,,11,,3,,4,,11,,1,,11,,1,,11,,6,,1,,1,,5,,2,,1,,5,,4,,6,,1,,2,,6,,6,,1,1,1,1,1,1,1,1,1,1,2,,2,,2,,2,,7,,7,,7,,7,,10,,7,,10,,7,,10,,4,,10,,1,,4,,1,,4,,10,,8,,10,,1,,3,,9,drinking buddy at SITE!,10,,10,,10,,1,,1,,1,30107,5,1,1,1,1,1,1,,,1,4,,5,,7,"Networking! Being connected with other EPET and MSU College of Ed students, researchers, and teachers!"
16202,16201,16203,16206,16208,16205,16204,16209,16207,,,1,1,1,1,1,1,1,1,,,4,,4,,4,,4,,4,,4,,4,,4,,,,,,3,,3,,3,,3,,3,,3,,3,,3,,,,,,,,10,,10,,10,,10,,10,,10,,10,,,,,,1,1,1,1,1,1,1,1,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,13,,13,,13,,5,,13,,13,,6,,13,,,,,,11,,6,,11,,13,,6,,6,,13,,6,,,,,,1,1,1,1,1,1,1,1,,,2,,8,,8,,2,,2,,2,,2,,2,,,,,,3,,2,,2,,8,,3,,3,,3,,3,,,,,,10,,3,,3,,3,,8,,8,,8,,8,,,,,,2,30116,1,,,,,,,,,1,2,,3,,1,
12102,12104,13110,14101,13109,15104,14103,13107,15101,20103,11104,1,1,1,1,1,1,1,1,1,1,4,,12,,9,,9,,9,,9,,,,,,,,,,9,,7,,7,,4,,7,,,,,,,,,,,,12,,9,,12,,,,8,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,,,,,,,,,,,11,,11,,11,,11,,4,,,,,,,,,,,,10,,4,,4,,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,8,,8,,4,,3,,6,,,,,,,,,,,,10,,10,,6,,8,,1,,,,,,,,,,,,5,,5,,8,,10,,1,,,,,,,,,,,,2,30117,5,1,1,1,1,1,1,,,1,3,,5,,2,
16201,16207,16203,12102,16206,12202,16209,16205,16208,16204,16202,1,1,1,1,1,1,1,1,1,1,4,,4,,5,,4,,10,,4,,4,,4,,4,,4,,6,,10,,10,,10,,5,,9,,3,,3,,3,,3,,9,,3,,13,,3,,13,,3,,9,,13,,13,,13,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,11,,1,,1,,1,,1,,1,,13,,13,,13,,13,,1,,13,,13,,13,,13,,13,,6,,6,,6,,6,,13,,6,,6,,6,,6,,6,,1,1,1,1,1,1,1,1,1,1,2,,2,,10,,2,,10,,7,,8,,8,,7,,2,,8,,10,,7,,7,,5,,2,,2,,10,,8,,8,,10,,8,,2,,8,,7,,8,,9,,2,,2,,10,,1,30113,1,,,,,,,,,1,5,,,,2,
13107,13109,13110,13101,11101,14102,14103,11104,,,,1,1,1,1,1,1,1,,,,9,,4,,9,,10,,9,,7,,7,,,,,,,,10,,10,,4,,5,,10,,9,,5,,,,,,,,4,,12,,10,,9,,4,,10,,9,,,,,,,,1,1,1,1,1,1,1,,,,1,,1,,1,,1,,1,,1,,1,,,,,,,,11,,11,,11,,6,,6,,4,,4,,,,,,,,4,,4,,4,,4,,4,,6,,11,,,,,,,,1,1,1,1,1,1,1,,,,10,,7,,7,,10,,7,,7,,10,,,,,,,,9,"Just relaxing, blowing off steam, and laughing",10,,10,,2,,8,,10,,2,,,,,,,,7,,8,,8,,7,,10,,2,,5,,,,,,,,2,30114/30101,3,1,1,1,1,1,1,,,1,1,,7,New type of job,3,
12206,12201,12203,12204,12202,12205,,,,,,1,1,1,1,1,,,,,,10,,4,,4,,4,,4,,,,,,,,,,,,9,,3,,9,,10,,10,,,,,,,,,,,,4,,13,,13,,13,,13,,,,,,,,,,,,1,1,1,1,1,,,,,,1,,3,,1,,1,,1,,,,,,,,,,,,3,,1,,3,,11,,3,,,,,,,,,,,,6,,11,,10,,3,,11,,,,,,,,,,,,1,1,1,1,1,,,,,,7,,1,,7,,1,,1,,,,,,,,,,,,10,,10,,10,,10,,7,,,,,,,,,,,,1,,9,,9,,,,9,,,,,,,,,,,,1,30105,4,1,1,1,,,,,,1,4,,1,,7,
20112,20111,12101,20105,,,,,,,,1,1,1,,,,,,,,7,,7,,7,,,,,,,,,,,,,,,,13,,12,,3,,,,,,,,,,,,,,,,10,,13,,9,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,11,,,,2,,,,,,,,,,,,,,,,10,,4,,11,,,,,,,,,,,,,,,,1,1,1,,,,,,,,10,,3,,10,,,,,,,,,,,,,,,,3,,10,,3,,,,,,,,,,,,,,,,8,,9,,9,,,,,,,,,,,,,,,,2,30111,8,,,,,,,,1,1,3,,2,,1,
10206,10205,10101,10207,10204,,,,,,,1,1,1,1,,,,,,,10,,4,,4,,4,,,,,,,,,,,,,,4,,10,,10,,9,,,,,,,,,,,,,,9,,9,,9,,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,4,,11,,6,,,,,,,,,,,,,,2,,6,,6,,11,,,,,,,,,,,,,,4,,3,,4,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,10,,10,,10,,10,,,,,,,,,,,,,,5,,5,,5,,7,,,,,,,,,,,,,,7,,7,,7,,5,,,,,,,,,,,,,,1,30109,7,1,1,1,1,1,1,1,,1,1,,6,,4,
10201,20108,10202,10101,,,,,,,,1,1,1,,,,,,,,14,,4,,13,former cohort member,,,,,,,,,,,,,,,5,,3,,13,social media connection,,,,,,,,,,,,,,,13,,9,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,3,,1,,6,,,,,,,,,,,,,,,,6,,11,,,,,,,,,,,,,,,,,,11,,6,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,2,,10,,1,,,,,,,,,,,,,,,,3,,7,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,30115,6,1,1,1,1,1,1,1,,1,2,,1,,3,
20102,11101,13108,13104,13103,13105,13110,15104,20106,20103,10101,1,1,1,1,1,1,1,1,1,1,7,,4,,4,,4,,4,,4,,13,we TA a course together,13,she was the lead TA on a course that I was learning to TA,13,fellow TA,13,she TA'd a course I took,14,,13,comps study group,3,,3,,3,,3,,5,,5,,5,,5,,10,,10,,13,comps study group,9,,10,,10,,10,,9,,10,,10,,1,1,1,1,1,1,1,1,1,1,1,,1,,7,,1,,1,,1,,1,,6,,1,,1,,7,,6,,3,,3,,3,,3,,3,,1,,3,,6,,3,,3,,3,,3,,11,,11,,11,,3,,11,,11,,1,1,1,1,1,1,1,1,1,1,7,,2,,2,,2,,2,,2,,8,,8,,8,,1,,2,,7,,7,,7,,7,,7,,9,preparing digital forums for our students,5,,7,,2,,8,,10,,10,,10,,10,,10,,5,,10,,10,,10,,2,30104,3,1,1,1,1,1,,,,1,4,,3,,5,
14206,14209,12202,10101,14208,14203,14202,14210,14205,14201,12201,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14209,10101,12202,12201,14207,14203,14208,14210,14206,14201,14211,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16203,16201,16206,16208,16209,12102,12202,,,,,1,1,1,1,1,1,,,,,9,,9,,4,,4,,13,TA,10,,,,,,,,,,10,,10,,3,,3,,5,,5,,,,,,,,,,4,,4,,9,,9,,9,,13,TA,,,,,,,,,1,1,1,1,1,1,,,,,1,,1,,1,,1,,1,,3,,,,,,,,,,13,,13,,13,,13,,13,,11,,,,,,,,,,6,,6,,6,,6,,,,1,,,,,,,,,,1,1,1,1,1,1,,,,,2,,7,,2,,2,,10,,10,,,,,,,,,,7,,2,,5,,5,,5,,7,,,,,,,,,,5,,10,,10,,10,,7,,,,,,,,,,,,1,30117,1,,,,,,,,,1,4,,1,,5,
14103,12102,13102,13110,13109,13105,14102,13107,12202,14211,10203,1,1,1,1,1,1,1,1,,,10,,9,,5,,7,,5,,9,,7,,5,,,,,,9,,5,,12,,9,,10,,5,,5,,11,,,,,,5,,13,Fellow TA,10,,5,,8,,10,,9,,7,,,,,,1,1,1,1,1,1,1,1,,,1,,1,,1,,1,,1,,1,,1,,11,,,,,,11,,4,,11,,11,,11,,4,,11,,5,,,,,,5,,11,,3,,5,,4,,11,,,,,,,,,,1,1,1,1,1,1,1,1,,,2,,7,,1,,2,,2,,10,,8,,2,,,,,,10,,10,,2,,3,,8,,2,,2,,8,,,,,,8,,3,,8,,10,,10,,7,,10,,5,,,,,,,,,,,,,,,,,,,,,,,
12201,12204,12203,12202,12102,11104,13104,13110,12206,12101,14209,1,1,1,1,1,1,1,1,1,1,9,,9,,4,,9,,9,,7,,9,,9,,7,,9,,4,,4,,10,,8,,7,,11,,5,,4,,8,,5,,10,,10,,9,,5,,11,,9,,10,,10,,5,,14,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,3,,3,,1,,1,,3,,1,,4,,4,,3,,13,,1,,7,,13,,6,,7,,6,,6,,6,,6,,6,,7,,5,,6,,3,,5,,11,,1,1,1,1,1,1,1,1,1,1,10,,7,,7,,7,,2,,8,,7,,7,,8,,7,,5,,10,,10,,8,,7,,2,,1,,10,,2,,10,,2,,2,,2,,2,,6,,6,,3,,2,,5,,2,,1,30102,5,1,1,1,1,1,1,,,1,4,,3,,2,
16205,16204,16207,16208,16209,12202,12102,16201,,,,1,1,1,1,1,1,1,,,,4,,4,,4,,4,,10,,13,TA,4,,,,,,,,9,,9,,10,,9,,13,TA/Liason,10,,3,,,,,,,,3,,3,,9,,3,,13,Mentor,9,,9,,,,,,,,1,1,1,1,1,1,1,,,,1,,1,,1,,1,,3,,1,,13,,,,,,,,4,,13,,3,,3,,1,,13,,4,,,,,,,,6,,4,,2,,5,,11,,6,,1,,,,,,,,1,1,1,1,1,1,1,,,,10,,7,,10,,2,,1,,1,,2,,,,,,,,7,,10,,1,,8,,5,,7,,7,,,,,,,,5,,5,,3,,7,,10,,7,,8,,,,,,,,1,30108,1,,,,,,,,,1,1,,4,,7,Connections
12202,12203,12205,12102,,,,,,,,1,1,1,,,,,,,,4,,4,,7,,,,,,,,,,,,,,,,9,,9,,9,,,,,,,,,,,,,,,,3,,3,,3,,,,,,,,,,,,,,,,1,1,1,,,,,,,,2,,4,,2,,,,,,,,,,,,,,,,4,,2,,4,,,,,,,,,,,,,,,,3,,5,,3,,,,,,,,,,,,,,,,1,1,1,,,,,,,,7,,2,,8,,,,,,,,,,,,,,,,3,,7,,3,,,,,,,,,,,,,,,,10,,10,,10,,,,,,,,,,,,,,,,1,30102,4,,,,,,1,,,1,1,,4,,6,
16209,16208,12102,12103,16203,16207,16205,16204,16206,16201,,1,1,1,1,1,1,1,1,1,,4,,5,,9,,4,,4,,4,,4,,4,,4,,,,10,,9,,10,,3,,3,,9,,3,,3,,3,,,,3,,10,,5,,9,,3,,3,,9,,,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,1,,1,,1,,1,,6,,,,13,,13,,6,,6,,,,6,,13,,,,1,,,,4,,6,,4,,13,,,,,,6,,,,,,,,1,1,1,1,1,1,1,1,1,,2,,10,,,,1,,2,,2,,10,,7,,1,,,,10,,5,,10,,10,,3,,3,,3,,,,7,,,,7,,2,,7,,7,,7,,10,,,,,,,,,,1,30103,1,,,,,,,,,1,3,,5,,2,
13109,20101,13107,13110,11101,20109,14103,14102,12102,,,1,1,1,1,1,1,1,1,,,7,,9,,4,,5,,5,,9,,9,,5,,,,,,12,,4,,9,,10,,9,,10,,5,,9,,,,,,10,,10,,10,,13,Other student with similar interest,13,co-worker,5,,8,,12,,,,,,1,1,1,1,1,1,1,1,,,6,,1,,1,,1,,1,,1,,1,,1,,,,,,11,,4,,6,,6,,3,,6,,6,,6,,,,,,3,,6,,4,,11,,11,,11,,4,,4,,,,,,1,1,1,1,1,1,1,1,,,2,,10,,7,,3,,7,,4,,7,,7,,,,,,8,,4,,3,,7,,8,,8,,8,,8,,,,,,10,,7,,10,,10,,5,,7,,4,,3,,,,,,2,30114,4,1,1,1,1,1,1,,,1,3,,4,,2,
10209,11104,10208,10202,13103,12204,14202,,,,,1,1,1,1,1,1,,,,,13,All of the above rolled into one,9,,4,,4,,5,,5,,,,,,,,,,,,4,,9,,,,6,,6,,,,,,,,,,,,9,,,,,,9,,9,,,,,,,,,,1,1,1,1,1,1,,,,,3,,1,,1,,1,,1,,2,,,,,,,,,,5,,2,,11,,11,,6,,,,,,,,,,,,10,"Face to face would be first as the strongest connection but since that is a rarity, chose the videoconference as one and didn't realize how impossible it is to rank in this way without a frequency as well. ",4,,,,,,5,,6,,,,,,,,,,1,1,1,1,1,1,,,,,7,,7,,7,,2,,2,,,,,,,,,,,,8,,10,,10,,8,,8,,,,,,,,,,,,2,,8,,2,,,,7,,,,,,,,,,,,1,30115,6,1,1,1,1,1,1,,,1,7,"Curiosity about EPET things satisfied, learning sounded too formal",1,,2,
14210,14201,14209,14208,14204,14211,,,,,,1,1,1,1,1,,,,,,4,,4,,9,,4,,4,,,,,,,,,,,,3,,3,,4,,9,,9,,,,,,,,,,,,12,,10,,10,,10,,3,,,,,,,,,,,,1,1,1,1,1,,,,,,2,,6,,1,,1,,1,,,,,,,,,,,,4,,11,,6,,6,,6,,,,,,,,,,,,5,,,,11,,4,,,,,,,,,,,,,,1,1,1,1,1,,,,,,2,,3,,7,,7,,7,,,,,,,,,,,,8,,5,,10,,10,,3,,,,,,,,,,,,5,,8,,9,Higher education career discussions,9,,8,,,,,,,,,,,,1,30104,3,1,1,1,1,1,,,,1,4,,1,,6,
16206,16203,12102,14202,12202,,,,,,,1,1,1,1,,,,,,,9,,5,,5,,5,,,,,,,,,,,,,,10,,10,,10,,10,,,,,,,,,,,,,,4,,13,TA,9,,13,TA,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,3,,3,,6,,11,,,,,,,,,,,,,,13,,13,,11,,13,,,,,,,,,,,,,,1,1,1,1,,,,,,,7,,2,,7,,10,,,,,,,,,,,,,,8,,3,,10,,7,,,,,,,,,,,,,,3,,7,,3,,5,,,,,,,,,,,,,,1,30115,1,,,,,,,,,1,4,,2,,3,
16207,12102,16201,16205,16203,16208,16204,16206,,,,1,1,1,1,1,1,1,,,,10,,4,,4,,4,,4,,4,,4,,,,,,,,9,,9,,9,,9,,10,,9,,9,,,,,,,,5,,10,,10,,10,,9,,10,,3,,,,,,,,1,1,1,1,1,1,1,,,,1,,1,,1,,1,,1,,1,,1,,,,,,,,13,,13,,13,,13,,13,,13,,6,,,,,,,,11,,6,,6,,6,,6,,6,,13,,,,,,,,1,1,1,1,1,1,1,,,,7,,10,,10,,2,,2,,7,,10,,,,,,,,2,,8,,7,,7,,8,,10,,7,,,,,,,,5,,7,,8,,10,,10,,2,,1,,,,,,,,1,30101,1,,,,,,,,,1,4,,2,,3,
14202,13110,13108,14211,12201,11104,14201,14209,,,,1,1,1,1,1,1,1,,,,7,,5,,3,,5,,5,,4,,4,,,,,,,,5,,8,,9,,12,,10,,9,,10,,,,,,,,10,,10,,8,,9,,8,,10,,9,,,,,,,,1,1,1,1,1,1,1,,,,3,,2,,1,,2,,1,,2,,2,,,,,,,,5,,3,,6,,1,,3,,1,,1,,,,,,,,1,,1,,3,,3,,2,,6,,6,,,,,,,,1,1,1,1,1,1,1,,,,2,,5,,5,,5,,5,,2,,3,,,,,,,,5,,8,,7,,8,,1,,7,,7,,,,,,,,8,,10,,10,,7,,2,,10,,10,,,,,,,,1,30117,3,1,1,1,1,,,,,1,4,,1,,7,Life Goal Milestone
14208,group,faculty,12202,11104,,,,,,,1,1,1,1,,,,,,,10,,14,,10,,10,,,,,,,,,,,,,,4,,10,,3,,13,,,,,,,,,,,,,,9,,13,,9,,13,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,1,,1,,3,,,,,,,,,,,,,,6,,3,,3,,11,,,,,,,,,,,,,,3,,11,,11,,1,,,,,,,,,,,,,,1,1,1,1,,,,,,,7,,10,,10,,10,,,,,,,,,,,,,,3,,7,,3,,3,,,,,,,,,,,,,,10,,2,,2,,2,,,,,,,,,,,,,,1,30106,3,1,,1,1,,,,,1,4,,3,,6,
14203,14209,14211,14202,10101,12202,,,,,,1,1,1,1,1,,,,,,4,,4,,4,,5,,10,,,,,,,,,,,,11,,3,,3,,10,,5,,,,,,,,,,,,9,,9,,9,,13,,13,,,,,,,,,,,,1,1,1,1,1,,,,,,1,,1,,3,,11,,11,,,,,,,,,,,,3,,3,,6,,6,,1,,,,,,,,,,,,6,,6,,11,,3,,3,,,,,,,,,,,,1,1,1,1,1,,,,,,5,,5,,5,,10,,10,,,,,,,,,,,,8,,7,,10,,5,,5,,,,,,,,,,,,7,,10,,7,,2,,3,,,,,,,,,,,,1,30116,3,1,1,1,1,,,,,1,6,,2,,4,
15104,12102,15101,14101,,,,,,,,1,1,1,,,,,,,,9,,9,,9,,,,,,,,,,,,,,,,10,,4,,10,,,,,,,,,,,,,,,,12,,10,,5,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,4,,4,,4,,,,,,,,,,,,,,,,11,,11,,11,,,,,,,,,,,,,,,,1,1,1,,,,,,,,7,,7,,7,,,,,,,,,,,,,,,,8,,8,,10,,,,,,,,,,,,,,,,10,,10,,5,,,,,,,,,,,,,,,,2,30110,2,1,,,,,,,,1,3,,4,,1,
12104,20110,12102,15101,14101,13107,,,,,,1,1,1,1,1,,,,,,8,,4,,7,,7,,7,,,,,,,,,,,,7,,7,,5,,5,,5,,,,,,,,,,,,5,,8,,9,,6,,8,,,,,,,,,,,,1,1,1,1,1,,,,,,1,,1,,1,,1,,1,,,,,,,,,,,,11,,11,,11,,11,,11,,,,,,,,,,,,5,,6,,4,,5,,5,,,,,,,,,,,,1,1,1,1,1,,,,,,3,,8,,10,,10,,2,,,,,,,,,,,,8,,7,,8,,8,,8,,,,,,,,,,,,7,,10,,7,,3,,10,,,,,,,,,,,,2,30102,5,,,,,,1,,,1,3,,2,,4,
12101,15101,20112,20111,11103,11104,13102,12102,12201,15102,,1,1,1,1,1,1,1,1,1,,9,,7,,7,,10,,7,,13,RA together,4,,5,,13,Assistantship together,,,10,,12,,5,,13,RA together,13,RA together,10,,3,,3,,10,,,,5,,10,,10,,5,,10,,5,,8,,8,,7,,,,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,,,3,,11,,11,,2,,3,,11,,3,,7,,7,,,,4,,4,,4,,5,,5,,5,,4,,11,,5,,,,1,1,1,1,1,1,1,1,1,,10,,8,,8,,1,,4,,1,,8,,8,,2,,,,7,,2,,1,,5,,2,,4,,5,,2,,7,,,,2,,1,,4,,2,,1,,3,,2,,5,,5,,,,2,30111,5,1,1,1,1,1,1,,,1,5,,1,,3,
